2025-05-12 13:25:24.331339 [INF] [CB_RO#trend] TrendStrength=_trendStrength,_trendStrength.Ewma,_trendStrength.DoubleEwma,_trendStrength.DoubleEwmaSlope,BuildUpInProgress,ReductionInProgress,_buildUpStepSize,_reductionStepSize,PositionMultiplier,TargetPosition,SlopeSignCount,TrendStatus
2025-05-12 13:25:24.333747 [INF] [CB_RO#trend] TrendStrength=0,0,0,0,False,False,1,1,0,0.00,0,None
2025-05-12 13:25:59.930679 [INF] [CB_RO#trend] TrendStrength=1,0.0004999999999999449,1.4999999999996696E-07,0,False,False,1,1,0,0.00,0,None
2025-05-12 13:26:23.038512 [INF] [CB_RO#trend] TrendStrength=1,0.00099974999999989,4.498799999999009E-07,2.9987999999993394E-07,False,False,1,1,0,0.00,1,None
2025-05-12 13:26:31.529333 [INF] [CB_RO#trend] TrendStrength=1,0.001499250124999835,8.99520073499802E-07,3.747600367499175E-07,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 13:26:57.270559 [INF] [CB_RO#trend] TrendStrength=1,0.0019985004999372802,1.49880036745887E-06,4.49600122486301E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:27:56.768891 [INF] [CB_RO#trend] TrendStrength=-1,0.0014975012496873667,1.947601102254793E-06,4.4940027556370655E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:28:01.019002 [INF] [CB_RO#trend] TrendStrength=-1,0.0009967524990625782,2.2460425716428575E-06,4.192085143285781E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:28:40.688846 [INF] [CB_RO#trend] TrendStrength=-1,0.0004962541228131021,2.394244995715279E-06,3.7404083261921865E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:28:53.708804 [INF] [CB_RO#trend] TrendStrength=-1,-3.9940042482493245E-06,2.39232852094209E-06,3.2033264584887474E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:29:06.299270 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005039920072460702,2.2404132202120033E-06,2.6130165252650456E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:29:21.049292 [INF] [CB_RO#trend] TrendStrength=-1,-0.001003740011242392,1.938619092873255E-06,1.987354547636987E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:29:23.878648 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015032381412367157,1.4870660647744283E-06,1.3370660647744613E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:29:27.779886 [INF] [CB_RO#trend] TrendStrength=-1,-0.0020024865221660425,8.858739883052494E-07,4.3599398830534856E-08,False,False,1,1,1,0.01,2,None
