position,long_limit_entry,short_limit_entry,long_market_entry,short_market_entry,buy_trades,sell_trades,buy_size,buy_cost,sell_size,sell_cost,buy_trade_pnl,sell_trade_pnl,prior_position_pnl,taker_fee,maker_fee,commission,pnl,worst_pnl,best_pnl,average_entry_price,total_entry_cost,total_entry_size,time
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747041924329
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747041959918
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747041983029
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747041991528
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042017269
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042076768
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042081018
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042120688
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042133708
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042146299
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042161049
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042163878
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042167779
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042173049
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042176238
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042183948
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042200618
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042200968
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042201498
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042205409
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042206278
0,[],[],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1747042206678
