trend_strength_value,trend_strength_ewma,trend_strength_double_ewma,trend_strength_double_ewma_slope,buildup_in_progress,reduction_in_progress,buildup_step_size,reduction_step_size,position_multiplier,target_position,slope_sign_count,trend_status
0,0,0,0,FALSE,FALSE,1,1,0,0.00,0,None
1,0.0004999999999999449,1.4999999999996696E-07,0,FALSE,FALSE,1,1,0,0.00,0,None
1,0.00099974999999989,4.498799999999009E-07,2.9987999999993394E-07,FALSE,FALSE,1,1,0,0.00,1,None
1,0.001499250124999835,8.99520073499802E-07,3.747600367499175E-07,TRUE,FALSE,1,1,1,0.01,2,BuildUp
1,0.0019985004999372802,1.49880036745887E-06,4.49600122486301E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0014975012496873667,1.947601102254793E-06,4.4940027556370655E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0009967524990625782,2.2460425716428575E-06,4.192085143285781E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,0.0004962541228131021,2.394244995715279E-06,3.7404083261921865E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-3.9940042482493245E-06,2.39232852094209E-06,3.2033264584887474E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.0005039920072460702,2.2404132202120033E-06,2.6130165252650456E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.001003740011242392,1.938619092873255E-06,1.987354547636987E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.0015032381412367157,1.4870660647744283E-06,1.3370660647744613E-07,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.0020024865221660425,8.858739883052494E-07,4.3599398830534856E-08,FALSE,FALSE,1,1,1,0.01,2,None
-1,-0.0025014852789049047,1.3516264243736917E-07,-7.643574310624328E-08,FALSE,TRUE,1,1,0,0.00,0,Reduction
-1,-0.003000234536265397,-7.649482672348821E-07,-2.2637486346937523E-07,FALSE,FALSE,1,1,0,0.00,-1,None
-1,-0.0034987344189972096,-1.8143391084537589E-06,-3.7619402107085516E-07,TRUE,FALSE,1,1,1,-0.01,-2,BuildUp
1,-0.002996985051787766,-2.7128903222574537E-06,-4.958932893900311E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0024954865592619275,-3.4607224229392723E-06,-5.85496741865455E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0029942388159822416,-4.357955851006964E-06,-6.750284371949054E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0024927416965743058,-5.104470973223871E-06,-7.344884193435875E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.001991495325726074,-5.700388229649661E-06,-7.639007322522916E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.002490499578063156,-6.4458279865996306E-06,-7.93289405137406E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0029892543282740696,-7.340670536685773E-06,-8.226544524991022E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0024877597011099878,-8.084796245857681E-06,-8.21995888829505E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0029865158212593777,-8.978325553361639E-06,-8.213377286126758E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003485022563348693,-1.0021138824700123E-05,-8.206799716246364E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003983280052066964,-1.121311649867267E-05,-8.500226176415216E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004481288412040876,-1.2554139087335184E-05,-9.093416664395912E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004979047767834801,-1.4044087175959261E-05,-9.686131324952298E-07,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0054765582439508294,-1.568284142299154E-05,-1.057837044976767E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.005973819964828799,-1.7470282560013084E-05,-1.1769894330363424E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.00647083305484633,-1.9406291391698765E-05,-1.2960463405099133E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
